course_code,course_name,number_of_units,is_offered_in_sem1,is_offered_in_sem1
BN5102,Clinical Instrumentation,4,False,True
BN5104,Quantitative Physiology Principles in Bioengineering,4,True,False
BN5201,Advanced Biomaterials,4,False,True
BN5203,Advanced Tissue Engineering,4,False,True
BN5207,Medical Imaging Systems,4,False,True
BN5208,Biomedical Quality and Regulatory Systems,4,True,False
BN5209,Frontiers in Neurotechnology,4,False,True
BN5211,Medical Robotics,4,True,False
BN5302,Organs in a Dish Organoid Bioengineering,4,False,True
BN5303,Tissue Engineering for Designing Food,4,False,True
BN5501,The Biodesign Process of Innovation in Healthcare,4,True,False
BN5511,Introduction to Global Medical Device Regulation,4,True,False
BN5512,Medical Device Regulation in the US and EU,4,True,False
BN5513,Medical Device Regulation in ASEAN and AsiaPacific,4,False,True
BN5515,Clinical Design and Evaluation of Medical Devices,4,True,False
BN5516,"Medical Device Design, Development and Testing",4,True,False
BN5666,Industrial Attachment,4,True,True
BN5999,Graduate Seminars,4,True,True
BN6202,Advanced Human Motion Biomechanics,4,False,True
BN6401,Advanced Quantitative Fluorescence Microscopy,4,False,True
BN6999,Doctoral Seminars,8,True,True
BPM1701,Calculus and Statistics,0,True,False
BPM1702,Microsoft Excel and PowerPoint for Business,0,True,False
BPM1705,Understanding How Business Works,0,True,False
BPS5000,Dissertation,8,True,True
BPS5111,Integrated Building Design,4,True,False
BPS5112,Green Building Integration and Evaluation Studio,8,True,True
BPS5221,Microclimate Design,4,True,False
BPS5223,Building Energy Performance - Passive Systems,4,True,False
BPS5224,Building Energy Performance - Active Systems,4,True,False
BPS5226,Smart Buildings and Facilities,4,False,True
BPS5228,Advanced Building Materials and Structures,4,False,True
BPS5229,Data Science for the Built Environment,4,False,True
BPS5300,Topics in Building Performance and Sustainability,4,True,True
BRP6551,Graduate Research Seminar 1,2,True,False
BRP6552,Graduate Research Seminar 2,2,False,True
BS5770,Graduate Seminar,4,True,True
BS6770,Phd Seminar,4,True,True
BSE3701,Macroeconomic Principles in the Global Economy,4,True,True
BSE3702,Economics of Strategy,4,True,True
BSE3703,Econometrics for Business I,4,True,True
BSE3711,Strategic Thinking: Economic Applications,4,False,True
BSE3751,Independent Study in Business Economics,4,True,False
BSE4711,Econometrics for Business II,4,False,True
BSE4751,Advanced Independent Study in Business Economics,4,True,False
BSE4761A,Seminars in Business Economics: International Economics,4,True,False
BSN3701,Technological Innovation,4,True,True
BSN3702,New Venture Creation,4,True,True
BSN3703,Entrepreneurial Strategy,4,True,True
BSN3714,Co-Creating Value (Tools for Collaborative Innovation),4,True,True
BSN3751,Independent Study in Innovation & Entrepreneurship,4,True,False
BSN4751,Adv Independent Study in Innovation & Entrepreneurship,4,True,False
BSN4811,Innovation and Productivity,4,False,True
BSN4811A,Innovation and Productivity (with Econometrics),5,False,True
BSP1702,Legal Environment of Business,4,True,True
