course_code,prerequisite_str
CS2102,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1231:D, MA1100:D, MA1100T:D, CS1231S:D AND COURSES (1) CS1020:D, CS1020E:D, CS2020:D, CS2030S:D, CS2030:D, YSC2229:D, CS2040:D, CS2040C:D, CS2040S:D)"
CS2103,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ((COURSES (1) CS2020:D, CS1020:D, CS1020E:D) OR (COURSES (1) CS2030S:D, CS2030:D AND COURSES (1) CS2040S:D, CS2040:D, CS2040C:D))"
CS2104,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2020:D, CS1020:D, CS1020E:D, CS2030:D, CS2030S:D, CS2113:D, CS2113T:D)"
CS2105,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2020:D, CS1020:D, CS1020E:D, CS2030:D, CS2030S:D, YSC2229:D, CS2040:D, CS2040S:D, CS2040C:D)"
CS2106,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2100:D, EE2007:D, EE2024:D, EE2028:D)"
CS2107,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) YSC1212:D, CS1010J:D, CS1101S:D, CS1010:D, CS1010E:D, CS1010S:D, CS1010X:D)"
CS2108,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1020:D, CS1020E:D, CS2020:D, CS2040:D, CS2040S:D, CS2040C:D, YSC2229:D)"
CS2109S,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ( COURSES (1) YSC2229:D , CS2040S:D , CS2040C:D , CS2040:D AND COURSES (1) CS1231S:D , CS1231:D , MA1100:D , MA1100T:D AND ( COURSES (2) MA1511:D , MA1512:D OR COURSES (1) MA1521:D , MA2002:D , MA1102R:D , MA1312:D , MA1507:D , MA1505:D ) )"
CS2113,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2040C:D OR (COURSES (1) CS2030:D AND COURSES (1) CS2040S:D, CS2040:D))"
CS2220,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2020:D, CS1020:D, CS1020E:D, CS2040:D, CS2040S:D, CS2040C:D)"
CS2309,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1231:D, CS1231S:D, MA1100:D, MA1100T:D AND (COURSES (1) CS2030:D, CS2030S:D AND COURSES (1) CS2040:D, CS2040S:D) OR COURSES (1) CS2113:D, CS2113T:D)"
